x,y
2.7487,3.7421
7.318,9.638
3.2659,6.3941
2.8276,7.8614
7.8766,5.4841
5.6999,9.5616
9.3455,8.3334
2.3609,0.1583
7.0177,1.001
0.1902,0.151
5.2694,1.4397
5.9258,7.6458
3.87,6.7935
5.5049,9.97
8.3039,6.3576
7.9259,5.4533
7.6932,2.3443
8.2384,3.0428
2.8132,8.3074
0.1318,0.4975
4.3845,9.4131
4.7891,1.2985
7.9678,0.0914
7.9186,5.2557
5.606,9.637
5.2184,8.2914
0.0179,0.2321
2.5337,5.8509
5.7475,4.4212
2.6188,8.7866
6.1622,3.8002
8.7666,6.3635
4.9855,7.6356
0.0768,2.6036
6.114,8.4903
4.4052,2.7474
2.4166,2.7762
5.6436,3.2864
6.6964,8.6501
3.2621,6.517
2.1663,2.3755
3.8356,6.625
4.7235,9.6274
0.5421,2.3511
3.6499,9.0093
7.9796,1.1972
7.348,4.3301
0.3764,6.3198
0.1489,0.2586
0.7061,1.3806
5.2868,2.7932
3.3644,5.5377
8.3711,5.1207
5.1633,0.3339
7.4515,1.596
7.8443,0.6051
5.4335,7.299
2.2003,1.2541
6.6566,2.3126
8.8387,5.6785
3.2729,9.9257
0.7834,8.9051
3.7771,1.0254
3.0339,3.6246
6.0721,7.3973
4.7489,3.6587
5.401,2.9618
0.1084,1.3419
2.7878,2.5728
9.5491,0.8428
9.8862,2.0552
0.4792,6.8623
0.3451,9.3537
0.3742,2.7187
4.3027,5.9995
0.7933,3.917
3.2288,3.0644
7.6501,4.3549
5.4298,2.9131
5.7595,1.8637
8.1482,7.7254
0.2384,2.6491
8.6292,4.5922
8.321,8.1322
5.0627,0.388
7.8066,4.0105
1.7102,8.2972
8.3246,3.077
0.4564,7.631
2.317,5.8899
9.3115,5.7999
2.1611,6.3183
1.6094,5.9324
6.8481,7.3961
3.9389,5.1907
8.5792,4.2878
0.4978,7.0512
3.3828,7.8042
0.7609,5.2923
4.116,8.8613
9.0783,7.4734
9.8991,3.6138
9.0428,8.2622
5.773,5.7036
7.6052,1.0646
9.2736,1.4804
4.6574,4.8631
2.6284,5.3755
3.7208,8.8431
6.9573,9.3442
8.9366,1.6878
9.5171,1.2788
5.8189,6.4788
9.619,3.4429
3.7112,0.9003
6.3065,4.5569
5.8836,1.0886
2.9661,6.5355
0.5979,9.1823
1.8489,3.6059
0.4381,4.7463
6.2417,3.2448
9.7189,3.3686
6.9321,4.5767
1.717,8.0489
4.7743,9.5231
8.5799,7.0203
2.5257,3.8428
2.8055,0.9055
4.4005,0.7281
0.5305,1.8821
9.8834,5.5934
0.3659,0.1537
4.1469,3.2639
4.8097,7.2837
3.2447,8.467
6.832,0.1352
8.791,8.6943
3.6777,4.3526
2.7004,1.7452
9.8181,0.4694
6.3552,8.3397
1.7205,5.6636
0.2555,6.0699
7.1595,0.2719
8.6562,7.2322
6.9153,9.5241
1.6137,8.2741
3.9691,3.4778
7.2488,2.9944
6.7731,7.199
2.8603,3.1496
5.2274,7.8088
6.1193,4.5049
2.7227,8.0698
9.3314,3.0396
4.5853,8.6403
4.5868,8.9804
0.3075,2.5147
9.925,4.2
2.4815,9.0111
0.6843,7.4833
0.7599,8.0184
6.5611,8.2226
7.5797,3.487
1.87,1.0625
0.0091,3.6244
3.3771,4.0756
3.627,7.9511
8.9002,6.9567
0.5608,8.384
5.2365,4.6433
1.4589,4.0076
6.1956,4.3904
8.1706,3.6236
2.419,3.6531
1.3472,4.5146
0.6356,9.5143
7.3815,3.2452
8.6014,6.8774
7.4048,5.6964
5.0273,0.5515
5.4778,4.1316
4.542,6.3948
1.9215,7.6382
4.0982,7.6151
6.2686,6.2198
2.3695,2.2034
2.3295,6.6128
6.9913,4.761
5.4808,9.7449
6.5791,5.9541
1.8597,9.5156
3.8774,7.7418
7.5486,0.3006
7.2321,8.3555
1.3352,8.7486
5.3397,5.0504
8.5911,9.2125
0.1673,8.2444
2.7641,9.2387
3.747,3.198
4.8042,7.0038
8.4046,0.0867
6.9612,6.5942
6.8232,2.0791
5.1361,4.3253
4.7305,1.6184
8.6972,2.9958
6.8197,6.1017
6.5355,1.3525
0.9536,0.3766
4.1298,7.3816
8.1948,3.8772
0.0272,9.7149
4.9313,9.1329
5.2171,1.0259
6.6839,4.4183
6.6324,1.3105
8.6101,2.1186
8.3762,8.6447
1.3078,4.5891
5.517,9.0572
3.631,9.0926
8.4941,0.5046
1.0223,9.1518
1.4367,4.3613
8.914,7.9554
3.521,0.0866
5.5544,3.4455
5.6445,4.7918
7.1378,9.1361
7.7064,8.7486
9.5141,4.2048
5.9406,0.6021
1.7988,6.9969
8.7363,7.3728
6.1544,9.4266
1.1265,6.9923
8.6733,8.4583
0.2347,9.9707
8.6054,5.3258
2.9228,4.8413
5.2483,2.1672
2.4108,1.3213
4.9067,1.3169
7.413,9.5976
8.5486,9.5316
2.9768,9.2643
6.4505,1.6577
8.7227,7.5814
5.7915,6.2475
4.6362,3.9666
2.134,3.1104
1.2537,6.0868
9.7849,0.0338
6.175,0.9882
2.4267,1.8904
2.5194,0.1269
7.4647,2.0585
0.8652,7.7226
8.3208,3.5599
7.6014,6.281
0.6733,0.8339
1.5136,7.9695
2.2974,0.2627
4.4381,4.8408
1.9618,2.6769
9.8412,0.4004
8.5722,9.4948
4.1892,4.9668
3.548,8.0
9.4534,9.7796
9.5423,7.2363
9.379,9.2666
5.2157,9.4782
5.4679,4.9087
5.4186,9.9009
1.4868,1.5952
0.87,0.0681
5.7399,9.0225
7.9334,4.7079
1.9004,2.0222
3.191,5.6127
8.2294,6.9439
6.9875,0.4819
4.9328,1.5361
7.8785,2.3873
0.3881,8.4858
6.6074,5.1246
9.1679,6.4833
2.6377,0.7269
2.4136,4.5039
1.3697,1.1532
8.4474,7.9745
6.6418,1.9005
6.2287,2.1933
3.8501,1.2499
6.4503,6.7137
2.0993,7.0149
4.6447,7.2734
3.9358,2.7722
2.8309,6.8026
5.0172,7.7273
3.5371,2.4032
0.3453,8.4343
4.9127,4.3096
9.1781,9.7288
5.5583,1.7661
2.7633,5.519
9.5588,6.9874
0.7753,4.7035
7.0691,0.9275
4.8181,5.225
7.6974,0.1357
3.0294,7.1481
0.3273,6.5632
1.0391,3.9668
5.1662,4.3649
2.9817,5.8764
3.7398,0.3945
3.9269,0.5149
4.1814,2.4867
4.844,6.679
7.2643,0.3478
6.4065,5.6006
2.9515,5.8357
1.882,2.3544
2.8162,9.7636
0.4447,6.483
9.9347,2.7722
4.5258,5.2539
7.3536,6.9287
1.5014,8.0233
1.7489,2.4256
4.7156,5.8956
5.5289,9.9194
7.6225,5.218
2.9993,7.0919
0.4317,8.836
3.2228,2.406
4.3613,7.1512
0.4486,9.8387
8.7877,1.052
9.5063,5.1763
7.7015,9.8986
7.7023,0.2883
9.3743,5.3845
2.9055,1.7572
2.7566,9.2817
1.9772,4.4276
5.6121,7.2115
1.9728,6.8634
5.2373,6.9418
9.957,5.3388
6.7647,7.8872
9.5211,5.0359
0.5318,4.3156
1.1834,1.4909
7.3107,6.9098
9.5808,8.01
6.0062,3.6535
5.13,4.3368
7.017,0.7274
4.3443,0.0523
6.7005,8.1456
1.3362,4.2318
5.0652,5.9539
7.4479,7.1166
5.3065,7.3947
8.0035,4.5765
7.3479,2.0175
7.0508,8.2344
0.8974,3.4539
8.3187,8.2309
5.2557,5.2564
1.933,3.1993
8.4941,1.8597
2.5536,3.5693
3.3622,0.5504
0.3432,0.3193
3.1125,2.9902
9.5001,7.8955
0.7458,5.1332
1.1264,3.9955
9.7975,2.5441
7.5943,0.2284
6.7295,4.0573
8.7447,7.2707
7.1172,8.2783
0.7943,7.4412
2.6543,2.7263
0.4254,1.5548
5.9887,0.2306
5.2547,3.1865
2.8827,2.3257
0.5939,0.006
7.7016,7.0119
3.0854,6.2045
1.0777,6.5407
9.7196,6.8235
9.9796,7.5694
5.5918,4.2826
9.8963,0.2851
3.679,7.4879
2.3636,2.5427
5.8269,5.1418
1.5779,6.2225
9.9459,8.4912
3.0884,7.0725
9.0456,3.1656
5.3728,6.1152
5.5486,5.3235
7.0525,2.3614
0.7372,5.8386
1.1703,7.2418
3.1067,7.9126
8.6173,5.7847
5.1892,7.996
8.0767,2.4002
9.8992,4.2369
9.5068,6.0532
8.7643,4.7141
2.8503,0.7124
3.2885,5.8842
0.9948,5.1392
1.9096,8.9704
0.4679,4.4947
3.0486,2.5678
5.8706,8.7992
3.081,8.0422
7.9189,7.7916
4.5011,3.9188
7.4996,1.5278
2.6856,1.6109
8.8071,3.9647
0.968,2.1902
8.4217,2.2504
0.8892,6.1104
0.2684,2.6626
2.0784,3.9572
9.1871,3.9369
3.4707,8.8809
5.3121,1.6517
8.6699,5.7564
5.7131,9.8809
9.4284,2.3054
2.495,5.5284
0.1691,1.0162
9.5723,4.7289
5.4429,9.0935
6.7666,9.5967
4.4079,0.6288
9.9326,5.4833
8.5278,4.5074
4.0675,9.9536
0.248,2.8835
7.811,1.9866
5.3965,4.1353
0.5657,5.9176
1.4717,7.2217
5.5235,3.9762
4.939,2.4765
4.4671,7.8836
6.6633,9.11
6.383,1.2369
2.5627,2.7912
0.0332,2.1223
0.4476,4.9529
6.1054,0.435
4.3439,7.6202
4.3709,0.3452
2.9076,1.2373
3.7306,4.1095
8.2464,4.823
8.0086,6.2705
8.8623,3.7032
1.2214,2.7023
0.9188,1.9335
7.5532,2.9237
6.6714,0.6186
1.1247,4.8694
7.1766,1.3883
4.0191,8.716
1.5352,7.2822
0.6318,5.6775
4.4596,7.0378
6.9292,2.8397
4.1766,5.5703
3.6511,8.3209
0.3035,6.5076
4.242,7.0753
9.8018,5.4041
2.1507,0.3541
2.3278,6.2034
7.1772,4.8486
1.582,0.6013
0.1751,6.2349
3.5233,6.8588
3.5896,4.9891
0.1323,3.6202
5.2908,5.3881
7.8393,8.3135
9.8249,0.7094
2.5648,3.123
9.8048,6.9823
3.8444,3.5448
5.9672,9.9139
5.1451,5.6343
9.543,3.9282
7.8604,7.7096
6.4119,4.0328
1.1629,2.7871
5.1172,1.8299
7.5985,4.0077
9.3999,1.3981
9.7829,8.691
8.0176,2.8152
4.3739,4.1267
9.4639,4.1496
2.0859,2.753
4.5272,8.4367
6.9511,7.5612
2.0637,6.0664
6.3704,0.0987
5.5839,4.1058
4.6951,3.5518
1.7842,0.5843
8.0907,8.0071
0.424,9.8647
8.5909,9.544
2.7342,2.8817
2.0625,3.1736
5.3418,5.1416
1.4326,4.4296
2.3236,2.1768
4.3308,9.1054
2.6936,3.045
6.1122,6.5098
7.2209,5.2867
2.6704,6.9561
0.3365,7.6415
7.3862,6.8643
4.0781,8.2916
3.7191,5.7697
8.0469,9.9237
1.8049,2.8679
3.4437,2.9156
5.4426,4.0952
2.9716,4.1884
3.6435,1.3583
2.8717,9.7565
7.8234,5.367
9.8752,1.0899
2.9613,3.2839
0.4324,2.3879
4.8258,4.1492
2.9617,6.3988
0.8689,1.9918
3.0898,4.5044
2.2704,7.5334
6.9173,6.2207
7.0566,0.7493
1.6284,7.9493
8.0409,2.2622
0.4634,0.4464
8.9889,2.1101
4.2759,1.2766
6.0301,2.445
4.9818,4.8174
7.5462,4.3038
8.4445,9.343
0.918,3.7836
2.8766,4.7377
8.3357,6.5912
7.4528,5.6094
4.2364,8.3586
7.5462,3.3767
2.1736,9.9264
5.545,8.4888
9.3055,8.5922
8.6871,1.3338
7.255,0.9294
7.068,7.1074
1.6581,0.7316
8.3163,4.4471
6.9872,7.0552
9.8952,6.8561
2.3981,8.4445
9.3804,9.7451
3.7259,4.5117
3.9045,7.8205
6.7941,8.3283
3.8186,2.4774
4.1827,8.0513
4.1819,6.566
9.8794,9.9923
0.9549,5.6517
0.5213,1.1285
3.0817,6.9123
9.1067,0.9755
4.4363,1.1727
0.9515,1.9804
7.3233,9.0168
6.8444,0.722
9.8764,0.6229
2.6328,1.4777
7.2298,9.963
1.6682,8.0681
3.5958,8.4002
7.0214,9.5673
0.63,7.2114
8.328,4.1969
5.8607,1.2257
9.6672,7.2089
7.7594,6.2409
3.1089,4.8634
5.4598,9.635
0.9637,0.2188
7.4472,8.8671
9.3599,3.1741
1.228,4.3416
9.7004,2.9782
3.7361,8.7385
8.1952,7.3771
1.5733,9.5054
5.0852,1.5149
7.6666,5.92
0.9974,3.2185
0.4896,1.5067
5.0617,3.5142
0.0624,3.2704
9.3027,9.2865
4.8794,7.48
9.6414,6.4797
4.9171,4.781
2.3376,1.6951
6.036,6.4612
4.4375,5.5178
7.0435,8.3914
2.6406,4.1577
6.5232,9.488
3.9458,7.9646
0.1493,5.1996
8.4568,7.6888
9.3434,6.3824
8.929,8.2988
7.6226,4.9333
4.003,8.9374
7.3618,5.9517
8.0483,0.7823
3.9225,2.3902
2.9148,2.1723
0.6546,7.3665
7.9972,5.8787
7.8161,9.5578
5.1943,7.1168
2.5328,2.3146
9.6846,6.8445
5.4312,1.3626
2.5469,3.737
7.4755,2.7842
7.659,7.9793
7.6899,4.946
6.3359,9.3914
6.923,0.988
7.5944,4.8482
1.9175,9.9784
9.9608,9.19
9.412,1.9303
8.2219,8.407
7.9518,6.6839
4.9068,8.5939
0.8117,9.8397
8.2685,8.7827
8.8402,1.3179
1.6006,8.1286
9.462,0.2204
5.2133,1.5961
4.2319,8.1405
3.4203,1.3519
0.2309,4.1553
8.7313,2.7076
8.9861,7.3988
9.9225,6.7736
7.6255,0.9914
4.5036,3.8491
2.4719,3.8897
2.1429,4.9265
1.6032,9.7814
6.5891,7.4354
5.966,2.5652
1.5458,3.1352
4.6659,8.4371
1.6104,5.0925
6.2718,6.4752
8.0665,4.5916
4.5703,5.9991
5.9208,6.6763
4.4865,9.3265
2.6445,6.3904
7.3943,8.1161
0.7657,4.6614
3.5371,8.5534
4.39,4.7716
9.8419,4.2121
7.5494,1.5723
8.8282,7.4968
2.3595,9.3406
7.7507,7.3769
6.7692,5.0526
4.0855,3.5984
0.7303,2.2696
4.9814,2.0723
4.2569,6.7157
4.8241,5.3744
1.5366,3.4924
8.4662,4.9518
5.0405,1.3006
9.3595,3.1857
5.0833,9.3596
3.6424,2.916
8.6409,5.8992
2.081,9.8371
3.3286,6.486
9.7871,7.9688
8.9701,8.0734
0.9944,2.4152
5.2587,5.0636
5.6723,2.458
0.6891,7.9295
9.7812,9.9553
1.8033,4.7026
4.9976,8.8177
2.8383,3.8337
1.0297,4.7655
0.6542,8.6845
0.568,3.4452
3.4123,2.1522
5.9042,7.3629
1.3828,2.6444
2.0705,4.6408
2.1265,3.0801
2.4639,4.0154
1.0853,2.9063
8.3082,7.6795
9.7036,1.7472
0.3885,8.4168
6.0662,7.7224
4.1805,5.3588
4.6612,6.1294
2.0822,1.1973
0.0408,5.8622
1.5832,1.1697
7.1446,0.5487
5.1424,8.911
8.8586,0.8219
0.2336,3.6584
3.3884,7.4193
8.8269,6.0262
8.5747,6.4928
5.1817,3.4471
9.6035,0.8714
4.7316,8.0394
2.6072,8.766
4.5771,7.2374
7.1874,0.4037
0.1653,0.6973
7.2547,7.1116
2.0841,0.4939
0.4435,9.388
7.3288,1.5619
0.4117,6.4831
6.0335,6.824
7.9644,6.7343
5.8587,5.4278
6.6231,9.3697
2.8174,6.9766
9.0402,3.1586
5.7485,5.6508
0.1034,4.3836
5.0698,0.6471
5.3298,4.1475
2.2985,5.4184
4.925,4.2694
3.0197,8.1174
9.4939,2.6458
9.8108,3.8685
1.4398,7.8483
1.7681,0.0421
0.5363,5.1117
5.007,7.5736
8.3908,0.466
2.8947,8.75
1.1342,2.4641
4.0824,8.5512
0.3621,9.1376
9.4984,0.2249
3.8442,4.8467
6.4059,3.0475
1.2344,2.8746
9.2154,5.8382
5.441,5.1217
7.0307,6.2875
3.1827,5.827
8.1551,9.1138
6.3632,9.4998
2.4083,5.7636
7.9353,4.0564
7.012,8.5718
9.1844,7.8972
7.7305,3.1939
9.7166,8.3709
2.9932,7.1292
9.5257,2.752
5.4884,9.1626
3.1086,7.0865
8.437,2.272
0.6847,6.4986
8.3946,5.256
8.6148,5.9616
4.1269,0.3432
3.0015,5.8611
0.4116,5.7622
5.0617,9.271
2.4542,9.1809
3.1354,3.3264
8.3035,5.1836
6.6693,7.1283
7.0634,7.4942
2.7729,4.8461
3.6584,1.7601
5.1143,2.3002
0.1255,1.3291
1.1832,2.6891
4.7929,5.2194
5.6916,0.6784
9.3514,1.6935
6.5541,9.4274
4.6197,8.8749
3.9248,6.8053
6.405,2.7337
7.6585,6.9098
8.3889,5.7278
4.9093,2.8796
0.7166,0.8733
3.9653,6.0371
5.5246,4.1342
2.4423,4.2735
8.6557,3.5334
9.4001,6.3542
4.2757,2.2669
6.2942,5.2852
3.9954,2.5887
5.275,3.8106
9.3822,2.6968
7.3314,6.7884
1.8156,7.3313
7.326,5.4659
3.6671,8.297
4.2395,9.765
8.7011,6.4755
2.3356,2.9993
1.2145,0.0475
7.2319,5.4305
9.7631,6.2673
1.5594,6.8483
4.0994,4.1032
1.0067,7.9358
2.1332,9.7764
2.1817,9.032
3.5945,3.2887
3.847,6.328
4.6714,6.2929
9.6367,1.1385
0.6327,1.0866
8.4767,6.5023
1.0888,7.5041
7.7267,7.0828
1.5759,3.1361
1.4828,3.1018
6.9454,1.2324
0.0579,6.4065
3.3034,0.3869
8.4908,8.043
0.2506,3.943
2.8681,3.2091
4.1237,4.9298
3.0855,7.4244
4.3184,0.9879
9.2925,5.1576
8.2643,9.7774
7.7193,5.6038
8.1078,3.2884
0.4668,6.2848
0.1709,9.0019
6.0703,9.7183
3.8121,9.0431
2.706,9.4134
2.016,1.1659
2.8764,3.8417
7.0802,5.7926
8.1782,3.7717
2.0211,9.1236
5.4974,6.6979
7.2295,3.4661
3.1712,8.8032
3.5669,3.5674
0.3248,6.5189
5.5574,2.4874
4.7514,3.2725
6.3153,1.2952
9.3066,9.6321
5.0473,5.7222
7.6148,7.7199
5.9804,9.9018
5.0874,3.1136
3.8398,4.1374
4.1627,6.7087
9.9938,3.1612
4.1628,0.2389
0.9989,3.3036
2.3859,1.166
6.6286,7.9446
0.3573,6.4973
8.5988,2.5657
0.0226,0.9379
8.0523,5.5819
6.793,4.0637
9.0383,2.2392
8.0945,0.4697
7.8991,4.8425
3.1835,1.9011
2.0479,3.1797
4.0762,0.8767
9.0593,3.2266
7.5789,1.5324
5.2799,3.2905
9.3655,2.1471
1.9255,4.0698
4.0756,3.1998
5.9491,7.8936
9.2685,9.3926
2.5447,0.6046
7.5765,7.8729
8.9609,2.2876
7.709,0.9917
2.0568,1.0406
6.7597,5.541
7.6465,9.4558
8.896,8.1531
4.5796,5.1761
9.4362,9.6331
6.4139,3.1377
6.7075,9.6069
3.9867,6.4427
0.7123,2.4481
0.7157,6.4801
2.4662,3.4192
3.7846,9.0717
7.0773,9.7393
5.186,2.837
2.7145,9.7721
0.1699,4.3127
4.2092,0.1813
6.2556,5.4047
3.5785,8.0216
5.6997,9.2959
2.4583,4.517
6.1174,8.0061
1.7823,6.7016
4.7755,2.2315
7.5517,6.751
8.3299,6.8311
0.8653,9.5133
2.9773,7.4634
8.3386,9.3903
0.5649,3.1507
2.9916,9.6574
0.0196,2.8062
4.191,3.7585
4.6242,4.9088
2.2741,0.8158
5.1546,8.6024
7.0783,6.835
9.7791,1.502
6.6275,8.5351
2.2946,8.2569
8.658,1.0283
1.639,2.1454
3.2434,1.8263
4.3541,1.9514
3.7477,0.3994
9.0285,4.0158
2.1202,0.4674
3.7896,7.3146
5.7175,7.114
8.2715,6.6375
7.5645,3.9011
5.6843,3.7504
2.413,0.7375
8.5133,1.2012
0.8257,3.9747
7.3027,9.5953
2.7546,3.0732
6.1911,5.4273
8.4863,7.2696
8.1216,9.0365
6.2352,8.6236
3.5689,8.4414
5.4292,1.2992
5.1207,9.4013
9.1045,4.2351
4.3433,0.9053
9.7515,7.54
7.7995,6.8489
5.1453,9.1082
8.7715,8.2476
5.6644,2.9076
5.2347,0.669
5.6517,3.7394
1.9553,0.6476
0.0772,3.8347
5.2276,4.2027
4.7995,0.428
8.1534,5.6259
6.8294,7.9388
2.7466,7.12
8.9167,2.8596
9.1868,2.9594
9.1084,1.1818
0.284,1.9762
4.5395,3.5406
3.2974,4.7383
2.4906,6.3048
3.0289,1.4525
9.5986,4.4913
7.82,1.2522
9.1694,8.6462
5.6625,4.0602
5.4296,8.4697
9.7396,9.901
9.5536,8.6547
0.1628,8.9174
3.1435,5.466
4.7822,6.5861
4.0256,1.1999
2.6535,2.9985
3.5048,5.2132
7.0007,8.4748
9.4292,8.5192
4.0197,0.3325
7.5439,6.9854
1.5081,4.4478
8.4055,2.4351
5.3912,5.4218
9.3371,8.4511
8.6144,7.6139
7.4369,1.2669
2.1392,2.985
0.7895,0.3364
5.2399,7.1987
5.7741,2.1694
5.4747,0.6942
2.082,0.7675
8.5252,9.5078
8.4512,8.5733
6.3657,2.8487
6.8262,7.462
1.591,7.139
7.6869,6.8189
6.3924,4.7633
1.5172,3.0031
6.5044,6.8105
7.1917,8.7698
5.4802,4.1986
4.7289,0.1277
7.2447,9.3093
4.8181,4.3107
2.9086,1.2001
6.7193,6.1157
8.8774,0.3934
2.6719,4.9004
5.541,1.3526
0.0764,7.9239
4.6936,5.8853
3.5092,0.6586
1.7854,8.0099
7.699,7.4249
5.0871,1.2016
0.5445,3.6986
1.5614,7.401
0.0356,8.3922
2.7627,6.8655
7.4804,5.177
3.4813,3.834
1.7715,8.3034
9.3774,9.7488
4.9036,1.9656
5.0534,9.53
5.3994,8.8961
9.6767,6.1299
5.8562,8.6159
0.0534,8.1595
4.6098,0.1431
5.3502,7.3231
4.7968,9.3169
3.2963,9.6051
4.4015,6.4258
1.1864,7.7783
9.8403,1.2661
3.1397,2.9331
6.8799,0.307
3.9352,5.0435
3.3463,4.6078
0.0213,8.8665
4.6587,1.064
3.9189,4.179
8.0399,2.341
8.6897,0.6527
5.3596,0.3786
6.5994,3.1012
7.0936,9.9191
1.6655,0.2152
2.486,6.3127
4.3594,7.3637
1.5237,3.6772
4.1391,8.845
0.1836,1.6525
4.4726,9.5976
2.4326,6.9658
7.151,5.3747
4.7546,7.4583
1.1949,3.4475
4.9845,6.8791
0.5264,3.2957
8.6735,7.7112
4.0819,3.4567
7.0918,5.2895
6.6693,3.0583
0.3374,6.1265
4.1513,9.3463
5.8123,1.4802
7.6197,6.703
8.9918,0.1228
1.4839,6.0295
5.1135,9.8697
4.1991,0.6603
6.6858,1.4487
6.1259,9.2653
1.6656,9.2383
0.5655,2.982
0.8595,0.4226
0.1302,7.1928
4.4268,9.5011
1.3388,4.3195
1.3671,9.9242
9.1192,0.3144
7.3081,4.8762
7.3041,2.783
4.6498,5.0729
4.59,7.9726
0.3197,0.4226
5.3281,2.3784
2.6795,3.8925
1.8394,0.2376
0.9332,6.8611
9.2557,7.6549
1.7281,4.2446
4.1783,9.0572
1.3676,7.3685
9.3489,9.2948
9.4026,3.218
8.8685,9.5109
2.6657,7.0027
0.3912,9.3969
9.0362,5.8951
2.8367,1.6998
0.5707,5.3471
2.3935,8.9098
9.1531,0.979
9.9885,0.1263
0.2949,4.8399
8.8369,5.6635
0.4737,1.1556
2.2425,9.1552
3.9545,2.1446
0.818,9.1517
6.9279,9.1576
6.9109,1.1401
9.5322,7.063
2.5802,4.1413
0.6344,1.9575
7.0756,4.2545
0.415,4.1249
4.0603,5.0524
7.0625,4.3029
4.6634,5.6687
5.3913,3.2726
0.9323,5.3462
3.2318,8.458
9.9745,2.4961
8.5477,9.198
3.1833,8.4936
8.6368,8.3123
9.1815,1.517
5.4213,3.525
4.7569,3.6267
2.5051,6.9992
2.0819,1.0337
0.2188,1.6918
2.5221,8.731
4.8855,3.8321
1.1018,0.4276
2.0213,8.0055
8.285,7.7133
5.7913,8.8118
0.6443,8.0782
0.6767,8.2121
3.6368,7.6529
5.6221,2.4174
1.8729,8.6934
4.9616,5.1462
0.0181,3.7895
5.8651,4.4251
1.1394,2.9081
0.3316,7.664
7.1663,1.8095
0.8635,8.5111
6.59,1.6771
3.9427,6.632
8.0552,6.713
0.806,7.3047
1.1462,0.634
0.5446,3.6889
1.5955,0.2356
7.6496,1.9312
9.8964,8.5329
7.1283,8.4343
6.7977,3.8072
5.2723,9.4843
5.188,3.5912
3.3839,1.6472
3.6047,9.856
2.0173,7.896
2.2613,2.3392
4.7341,3.3659
2.3607,1.8843
6.7008,6.4442
4.1697,7.6513
8.3189,3.3853
3.18,8.4255
3.5027,7.3247
1.8977,9.239
8.9978,4.7033
3.9124,6.2257
8.9529,2.353
6.9078,5.7515
5.6812,9.3007
5.1391,0.3628
6.8088,6.019
7.9359,1.2261
0.4911,0.0097
4.577,1.9501
1.264,8.9197
2.7934,3.9559
2.1416,8.1688
2.2326,0.7284
4.0534,2.1138
4.8705,3.7331
7.6537,0.0269
7.133,5.5511
3.1458,0.6271
9.9525,1.517
6.9799,6.677
9.5751,2.1699
8.3573,4.6514
7.8911,5.1416
7.6443,5.2118
3.1105,8.6455
7.9943,2.0217
5.5762,1.1148
4.9528,0.6729
9.8939,0.1816
5.0632,3.1186
7.998,0.259
4.5803,4.8879
4.9202,4.3911
2.9798,0.8197
4.747,2.7401
6.068,0.2124
5.9854,1.8286
3.7342,6.8507
5.4699,4.6447
2.3035,8.2706
2.5409,4.4652
6.8023,0.0683
1.2804,2.2015
7.0486,6.8208
8.0575,7.4345
7.8526,6.888
5.5633,8.8118
9.8715,3.7593
